chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
39.0611375384,184.42554799999999,182.933606257,-598.060517543,29.8241726184,901.505476185,9.8426785438095687E-002,9.7946503808439E-48,1.8864613412969461E-026,3.41648483E+03,3.18927778E+03,3.2623789E+03
38.8938806325,95.351074400000002,99.1742149385,112.25788465,6.69894585415,409.481089782,0.14064070811504631,1.1888922142629E-45,6.9972827372638097E-027,-3.8395647E+03,-2.83009425E+03,3.17312295E+03
39.4629842073,185.52322699999999,184.021102719,360.433590601,7.67501267611,2691.66724134,0.10791223276487392,5.6626046207776E-49,1.6525189862496145E-026,-3.32726812E+03,3.43236377E+03,-3.10114998E+03
37.1476732543,179.19640799999999,-177.304865205,305.526356302,7.9442165795,462.238958336,0.10429061891276743,6.8660911805963E-48,1.5535013512144016E-026,3.64406123E+03,-3.85610448E+03,-3.61594558E+03
35.7245315596,87.602052299999997,91.0758087946,102.905110189,6.80937784295,392.649556002,0.10523675980044293,1.173386413556E-45,6.2458122006819049E-027,3.27529651E+03,1.09698294E+03,1.70109499E+03
37.1243519454,95.066635300000002,110.900926439,-666.023723659,15.8119571193,-129.483535052,0.12162102005012838,9.0372814218174E-46,1.1425532020759239E-026,-3.45295461E+03,-6.12924879E+02,1.06534478E+03
36.9290929697,178.57596699999999,176.430711844,475.540566705,20.5880147832,1159.61827291,0.17680073967754414,1.6762089356598E-47,1.2114136419187252E-026,2.08218381E+03,1.21302029E+03,-1.61430165E+03
39.0254836934,184.28210700000000,-182.843800698,567.809228318,40.9290606468,677.934599782,0.20297373743477512,5.1163106104882E-49,1.1298479436837428E-026,3.27931659E+03,1.29148495E+03,3.06746301E+03
36.2734945619,175.45044300000001,-172.565334112,901.254707737,13.4687802821,2060.22965355,0.13922603289999871,1.9449424718975E-48,1.0873044237921704E-026,3.67317281E+03,-3.82834284E+03,-3.67172532E+03
37.0218259295,178.83457400000000,-176.942317558,466.806469436,33.899760824,974.998947935,0.17118859384336937,8.9872056900293E-49,1.1957007772570645E-026,3.11863636E+03,1.33492317E+03,3.07694616E+03
39.2684037986,184.99275200000000,-181.454191238,-553.725716239,6.26925778055,1593.71003278,0.19463921023628569,8.9263800279859E-48,1.1613134618197746E-026,3.53649602E+03,3.59995123E+03,3.26401151E+03
37.8548076933,94.267282499999993,97.2263794148,113.825609315,5.11025107903,-164.558981058,9.0472990151455684E-002,4.6649660700793E-46,1.2245189650950132E-026,-3.74285127E+03,-1.92998674E+03,-1.26965657E+03
